number_of__talk__download_languages,comment_count,number_of__subtitled_videos,number_of__talk__more_resources,work_tag,number_of__talk__recommendations,growth_tag,personal_tag,success_tag,author_occupation,leadership_tag,psychology_tag,business_tag,brain_tag,psychologist_occupation,happiness_tag,number_of__talks__take_actions,age_months,ted salon talk  partner _video,duration,self_tag,ted institute talk_video,communication_tag,subjectivity,ted stage talk_video,ted  original_video,engineer_occupation,researcher_occupation,artist_occupation,teaching_tag,writer_occupation,technology_tag,best web_video,tedx talk_video,body_tag,philosopher_occupation,comedian_occupation,original content_video,comedy_tag,entrepreneur_tag
33,946.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,259,0,0,0,0.34493338760005426,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,1250.0,48,3,0,0,0,0,0,0,0,0,1,0,0,0,0,124,0,1313,0,0,0,0.4843614849796669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1715.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,104,0,905,0,0,0,0.4005999278499279,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
40,441.0,39,0,0,0,0,0,0,1,0,1,0,1,0,1,0,151,0,1254,0,0,0,0.4600760374682789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,320.0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,2,39,0,917,0,0,1,0.4396909702616223,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,1279.0,56,3,0,1,0,0,0,1,0,0,0,0,0,0,0,121,0,1008,0,0,0,0.4667981804520265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,131.0,39,1,0,0,0,0,0,0,0,1,0,0,0,0,0,49,0,816,0,0,1,0.4671348269785772,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
27,149.0,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,27,0,782,0,0,0,0.4553524183271019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,153.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,280,0,0,0,0.543754187280973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,158.0,35,1,0,1,1,1,0,1,0,1,0,0,0,1,2,33,0,738,0,0,0,0.48753830825259403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,131.33333333333334,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,33,0,269,0,0,0,0.4072560188349662,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,104.66666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,288,0,0,0,0.5621218452908595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,78.0,22,0,0,1,1,1,0,0,0,0,0,0,0,0,1,20,0,709,0,0,0,0.5134934496397912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,190.66666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,222,0,0,0,0.4566492450638792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,303.33333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,277,0,0,0,0.43994708994708986,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,416.0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135,0,1202,0,0,0,0.5018735622815124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,215.0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,444,0,0,0,0.5822559413375739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,518.0,64,0,0,1,0,0,0,0,1,0,1,0,0,0,0,122,0,189,0,0,0,0.3816498316498316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,149.0,27,2,0,1,0,0,0,0,0,0,0,0,0,0,0,73,0,893,0,0,0,0.43833290258663377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,259.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,282,0,0,0,0.5095361247947454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,370.0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,165,0,1050,0,0,0,0.5033403474303472,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
